name;watchers;forks;tweets;size;url
Crossroads.js;568;57;7;2.8;http://millermedeiros.github.io/crossroads.js/
Nonsense;142;13;23;3.2;https://github.com/jocafa/Nonsense
Artemia;25;5;2;1.6;https://github.com/k33g/artemia/
jvent.js;27;2;10;0.7;https://github.com/pazguille/jvent
Plates;581;60;73;2.3;https://github.com/flatiron/plates
miuri.js;7;3;1;1.1;https://github.com/radmen/miuri.js
mix.js;7;0;0;0.5;https://github.com/bripkens/mix.js
bacon.js;26;6;0;0.3;https://github.com/tgolen/bacon.js
keyvent.js;13;3;1;0.6;https://github.com/gtramontina/keyvent.js
onDomReady;37;2;9;0.5;https://github.com/tubalmartin/ondomready
accounting.js;1,216;93;21;1.2;http://josscrowcroft.github.io/accounting.js/
t.js;574;36;122;0.4;https://github.com/jasonmoo/t.js
ytIframe.js;12;1;0;0.4;https://github.com/mdix/ytIframe
Morf;348;39;17;2.9;https://github.com/joelambert/morf
Mousetrap;3,729;294;1,313;1.9;http://craig.is/killing/mice
path.js;576;100;2;1.1;http://mtrpcic.github.io/pathjs/
aug;14;3;0;0.3;https://github.com/jgallen23/aug
140medley;121;21;16;0.5;https://github.com/honza/140medley
css.js;14;2;3;0.6;https://github.com/radmen/css.js
is.js;50;4;8;1;https://github.com/Cedriking/is.js
Traversty;104;10;37;2;https://github.com/rvagg/traversty
colorspaces.js;44;4;0;1.8;http://boronine.github.io/colorspaces.js
keymage;61;7;8;1.4;https://github.com/piranha/keymage
bitarray.js;48;3;0;0.4;http://github.com/madrobby/bitarray.js
DOMinate;12;4;0;0.4;https://github.com/adius/DOMinate/
PicoModal;16;11;6;0.9;https://github.com/Nycto/PicoModal
SDB.js;3;0;0;0.9;https://github.com/cScarlson/SDB
EditrJS;22;1;2;0.5;https://github.com/narfdre/Editr
TurtleWax;56;7;6;0.8;https://github.com/davebalmer/turtlewax
Minion;44;3;11;3.4;https://github.com/gigafied/minion
TinyDOM;22;5;2;0.4;https://github.com/ctult/TinyDOM
delayed;9;1;3;0.4;https://github.com/rvagg/delayed
Panzer;12;2;0;2.1;https://github.com/bemson/Panzer
big.js;79;15;3;2.6;https://github.com/MikeMcl/big.js/
Janis;42;9;0;1.4;http://mikemctiernan.github.io/Janis/
Scorebook;5;0;0;0.6;https://github.com/ryansmith94/Scorebook
state-machine;796;90;61;1.2;https://github.com/jakesgordon/javascript-state-machine
DragDrop;101;14;2;2.2;https://github.com/kbjr/DragDrop
ES5-Class;0;0;0;0.5;https://github.com/ShadowCloud/ES5-Class
Jaml;494;39;0;1.2;http://edspencer.github.io/jaml/
Sheethub;21;0;0;0.8;https://github.com/pyrsmk/Sheethub
tinyJS;0;0;1;3.4;http://tinyjs.sourceforge.net/tiny.js
my.class.js;59;11;3;0.4;https://github.com/jiem/my-class
Perms;6;0;1;0.4;https://github.com/bahamas10/node-perms
Color;18;3;0;1.8;https://github.com/Wolfy87/Color
ipsum.js;1;0;1;1.4;https://github.com/mdix/ipsum.js
Strukt;7;0;2;0.3;https://github.com/js-coder/Strukt
PinkySwear.js;20;6;0;0.4;https://github.com/timjansen/pinkyswear.js
loom;12;2;4;0.4;https://github.com/rpflorence/loom
Async GA;0;0;234;0.2;http://mathiasbynens.be/notes/async-analytics-snippet
BehaviorTree.js;14;2;0;1.3;https://github.com/Calamari/BehaviorTree.js
Valentine;204;15;31;2.3;https://github.com/ded/valentine
LazyLoad;544;81;38;1;https://github.com/rgrove/lazyload
format;15;10;3;0.5;https://github.com/samsonjs/format
DOMBrew;14;2;3;1.1;https://github.com/glebm/DOMBrew
observer;16;2;3;0.4;https://github.com/azer/observer
JSON2;3,476;1,779;97;1.3;https://github.com/douglascrockford/JSON-js
animx;5;0;0;0.7;https://github.com/bjorkstam/animx
jXHR;0;0;0;0.6;https://gist.github.com/marianoviola/1576277
Bespoke.js;1,509;177;42;0.9;https://github.com/markdalgleish/bespoke.js
genData;17;2;1;0.7;https://github.com/bemson/genData/
infinity.js;7;0;0;1.2;https://github.com/SimonWaldherr/infinity.js
Bootstrap;0;0;1;0.7;https://bitbucket.org/scott_koon/bootstrap
usertiming.js;4;0;1;1.1;https://github.com/nicjansma/usertiming.js
Jaguar;9;0;0;3.2;https://github.com/alpha123/Jaguar
$script.js;817;79;55;0.8;https://github.com/ded/script.js
Lawnchair;1,572;205;100;0.9;http://brian.io/lawnchair/
BuildSugar;0;0;2;0.2;http://jsfiddle.net/SubtleGradient/4W3RR/
nwt;18;6;0;4.6;http://nwtjs.org
xui;674;96;379;1;http://xuijs.com
zoe.js;38;3;27;2.5;http://zoejs.org
iugo.js;15;4;10;2;http://iugojs.com
LABjs;944;100;297;2.1;http://labjs.com/
List.js;2,195;216;1,053;3;http://listjs.com
ColorConverter.js;5;0;1;1.3;https://github.com/SimonWaldherr/ColorConverter.js
Placeholder.js;96;27;25;0.3;https://github.com/NV/placeholder.js
one-color;192;13;25;2.1;https://github.com/One-com/one-color
ShinyCar;3;1;1;1;https://github.com/Poincare/ShinyCar
wru;78;7;42;1.5;https://github.com/WebReflection/wru
mmd.js;5;2;4;0.4;https://github.com/gmac/micro-module-definition
Colors.js;65;10;1;2.7;http://mbjordan.github.io/Colors/
jaylist;24;4;0;0.8;http://benbscholz.github.io/jaylist
nimble;180;11;1;0.8;http://caolan.github.io/nimble/
soma.js;147;10;11;4;http://somajs.github.io/somajs/
Stapes.js;150;24;3;2;http://hay.github.io/stapes/
impress.js;16,865;3,241;689;2.5;https://github.com/bartaz/impress.js
color.js;64;14;2;4;https://github.com/brehaut/color-js/
BigScreen;499;43;297;1.5;http://brad.is/coding/BigScreen/
Slang;130;11;24;2.1;https://github.com/devongovett/slang
creatorpattern.js;2;0;2;0.2;https://github.com/jeromeetienne/creatorpattern.js
dropinrequire.js;17;4;0;0.5;http://jeromeetienne.github.io/dropinrequire.js/
Director;865;105;68;3.5;https://github.com/flatiron/director
Slow.js;5;0;1;0.7;https://github.com/jakiestfu/Slow.js
Snap.js;2,533;217;189;2.6;https://github.com/jakiestfu/Snap.js
range.js;55;1;18;0.5;https://github.com/js-coder/range.js
$dom;81;9;14;2.5;https://github.com/julienw/dollardom
Evidence;10;1;0;4.3;https://github.com/madrobby/evidence
asEvented;66;13;7;0.5;https://github.com/mkuklis/asEvented
lscache;341;43;55;1;https://github.com/pamelafox/lscache
loglevel;111;4;4;0.7;https://github.com/pimterry/loglevel
Fayer;32;4;10;0.5;https://github.com/sandeepjain/fayer
strftime;56;12;5;1.5;https://github.com/samsonjs/strftime
Respond.js;4,525;986;830;1.8;https://github.com/scottjehl/Respond
Chic;7;2;3;0.4;https://github.com/rowanmanning/chic
Graph;4;0;0;0.5;https://github.com/ryansmith94/Graph
cm.js;3;2;0;0.4;https://github.com/timseverien/cm.js
Intro.js;5,360;616;71;2.9;https://github.com/usablica/intro.js
Backbone;0;0;2,530;6.2;http://backbonejs.org/
Radio.js;151;10;38;0.5;http://radio.uxder.com
StdClassJS;4;0;1;0.5;https://github.com/BlueJeansAndRain/stdclassjs
ScriptInclude;6;3;0;0.3;https://github.com/EvanHahn/ScriptInclude
cryptofoo;2;0;0;4.9;https://github.com/SimonWaldherr/cryptofoo
konami.js;5;0;0;0.8;https://github.com/SimonWaldherr/konami.js
C-qwncr;13;3;2;0.4;https://github.com/vsa-partners/c-qwncr
GSet;14;1;0;1.5;https://github.com/bemson/GSet/
Vine;11;1;0;0.8;https://github.com/arextar/Vine
environ;29;2;5;0.5;https://github.com/azer/environ
domReady;326;54;10;0.4;https://github.com/ded/domready
Morpheus;356;40;44;2.2;https://github.com/ded/morpheus
Species;11;0;3;0.6;https://github.com/k33g/species
sloth.js;6;1;0;0.4;https://github.com/hakubo/Sloth
Sslac;13;2;2;1.2;https://github.com/jakobo/sslac
store;372;15;69;1.2;https://github.com/nbubna/store
quark;1;0;0;1.9;https://github.com/pyrsmk/quark
qwest;4;0;0;1.2;https://github.com/pyrsmk/qwest
toast;32;6;1;0.5;https://github.com/pyrsmk/toast
hypo;4;0;1;1;https://github.com/shiftyp/hypo
draggable.js;35;13;0;0.8;http://gtramontina.github.io/draggable.js/
Microajax;0;0;5;0.4;http://code.google.com/p/microajax/
gowiththeflow.js;41;8;2;0.3;https://github.com/jeromeetienne/gowiththeflow.js
remove.js;2;1;1;1.5;https://github.com/scrapmac/snippets/tree/master/remove.js
Gator;221;10;122;0.9;http://craig.is/riding/gators
uuid-v4.js;19;1;2;0.2;https://github.com/makeable/uuid-v4.js
Behave.js;1,030;58;18;2.6;https://github.com/jakiestfu/Behave.js
tinyOSF.js;2;0;0;2.5;https://github.com/simonwaldherr/tinyOSF.js
resistance;45;6;6;0.4;https://github.com/jgallen23/resistance
an.hour.ago;0;0;17;0.7;https://bitbucket.org/davidchambers/an.hour.ago
mathmethods;8;3;0;0.5;https://github.com/davidchambers/mathmethods
autocast;9;2;0;0.2;https://github.com/bahamas10/node-autocast
Smoke Signals;0;0;0;0.2;https://bitbucket.org/bentomas/smokesignals.js
MinPubSub;99;16;9;0.2;https://github.com/daniellmb/MinPubSub
Proclaim;11;4;6;1.3;https://github.com/rowanmanning/proclaim
Loadrunner;187;22;30;2.8;https://github.com/danwrong/loadrunner
String::format;10;4;2;0.5;https://github.com/davidchambers/string-format
DoubleMetaphone;9;1;0;2.6;https://github.com/hgoebl/doublemetaphone
